Order Number,Invoice Number,Transaction Date A,Transaction Date B,Amount A,Amount B,Fees1 A,Fees1 B,Fees2 A,Fees2 B,Net Total A,Net Total B,Card Number,Status A,Status B
2696111,2696111,2025-04-16,2025-04-16,3900.00,3900.00,-0.80,-0.80,-21.30,-21.30,3877.90,3877.90,555555****1111,Success,Success
2696112,2696112,2025-04-16,2025-04-16,520.00,520.00,-0.80,-0.80,-11.76,-11.76,507.44,507.44,555555****1111,Failed,Failed
2696113,2696113,2025-04-16,2025-04-16,40038.00,40038.00,-0.75,-0.75,-4.45,-4.45,40032.80,40032.80,555555****1111,Success,Success
2696114,2696114,2025-04-16,2025-04-16,3008.00,3008.00,-0.80,-0.80,-3.60,-3.60,3003.60,3003.60,555555****1111,Success,Success
2696115,2696115,2025-04-16,2025-04-16,520.00,520.00,-0.80,-0.80,-5.45,-5.45,513.75,513.75,555555****1111,Success,Success
2696116,2696116,2025-04-16,2025-04-16,1040.00,1040.00,-0.80,-0.80,-5.58,-5.58,1033.62,1033.62,555555****1111,Success,Success
2696117,2696117,2025-04-16,2025-04-16,1560.00,1560.00,-0.75,-0.75,-10.40,-10.40,1548.85,1548.85,555555****1111,Success,Success
2696118,2696118,2025-04-16,2025-04-16,315.00,315.00,-0.75,-0.75,-7.80,-7.80,306.45,306.45,555555****1111,Success,Success
2696119,2696119,2025-04-16,2025-04-16,1230.00,1230.00,-0.75,-0.75,-8.53,-8.53,1220.72,1220.72,555555****1111,Success,Success
2696120,2696120,2025-04-16,2025-04-16,1040.00,1040.00,-0.80,-0.80,-11.75,-11.75,1027.45,1027.45,555555****1111,Success,Success
2696121,2696121,2025-04-16,2025-04-16,1570.00,1570.00,-0.75,-0.75,-7.35,-7.35,1561.90,1561.90,555555****1111,Success,Success
2696122,2696122,2025-04-16,2025-04-16,3008.00,3008.00,-0.75,-0.75,-4.45,-4.45,3002.80,3002.80,555555****1111,Success,Success
2696123,2696123,2025-04-16,2025-04-16,1150.00,3008.00,-0.75,-0.75,-8.53,-8.53,1140.72,2998.72,555555****1111,Success,Success
2696124,2696124,2025-04-16,2025-04-16,520.00,520.00,-0.80,-0.80,-3.68,-3.68,515.52,515.52,555555****1111,Success,Success
2696125,2696125,2025-04-16,2025-04-16,1175.00,1175.00,-0.75,-0.75,-53.80,-53.80,1120.45,1120.45,555555****1111,Success,Success
2696126,2696126,2025-04-16,2025-04-16,1230.00,1230.00,-0.75,-0.75,-10.11,-10.11,1219.14,1219.14,555555****1111,Failed,Failed
2696127,2696127,2025-04-16,2025-04-16,2350.00,2350.00,-0.75,-0.75,-17.00,-17.00,2332.25,2332.25,555555****1111,Success,Success
